BVG	CCG	ELG	GGG	LDG	NBG	NRG
	TMPRSS2					
	TNFAIP3					
	TNFRSF14					
	TNFRSF17					
	TNFRSF6					
	TOP1					
	TP53					
	TPM3					
	TPM4					
	TPR					
	TRA@					
	TRAF7					
	TRB@					
	TRD@					
	TRIM27					
	TRIM33					
	TRIP11					
	TRRAP					
	TSC1					
	TSC2					
	TSHR					
	TTL					
	U2AF1					
	UBR5 					
	USP6					
	VHL					
	VTI1A					
	WAS					
	WHSC1					
	WHSC1L1					
	WIF1					
	WRN					
	WT1					
	WTX					
	WWTR1					
	XPA					
	XPC					
	XPO1					
	YWHAE					
	ZNF145					
	ZNF198					
	ZNF278					
	ZNF331					
	ZNF384					
	ZNF521					
	ZNF9					
	ZRSR2					
